18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Activated Clay	<font size=5>\nActivated Clay\n</font><br>\n活性白土\n
Activated Complex	<font size=5>\nActivated Complex\n</font><br>\n活化络合物\n
Activated Molecule	<font size=5>\nActivated Molecule\n</font><br>\n活化分子\n
Activated Sludge	<font size=5>\nActivated Sludge\n</font><br>\n活性污泥\n
Activated Sludge Process	<font size=5>\nActivated Sludge Process\n</font><br>\n活性污泥法\n
Activated State	<font size=5>\nActivated State\n</font><br>\n跃迁态\n
Activation	<font size=5>\nActivation\n</font><br>\n活化\n
Activation Analysis	<font size=5>\nActivation Analysis\n</font><br>\n放射化分析\n
Activation Energy	<font size=5>\nActivation Energy\n</font><br>\n活化能\n
Activator	<font size=5>\nActivator\n</font><br>\n活化剂\n
Active Carbon	<font size=5>\nActive Carbon\n</font><br>\n活性炭\n
Active Center	<font size=5>\nActive Center\n</font><br>\n活化中心\n
Active Charcoal	<font size=5>\nActive Charcoal\n</font><br>\n活性炭\n
Active Deposit	<font size=5>\nActive Deposit\n</font><br>\n活性沉积物\n
Active Earth	<font size=5>\nActive Earth\n</font><br>\n漂白土\n
Active Earths	<font size=5>\nActive Earths\n</font><br>\n活性土\n
Active Filler	<font size=5>\nActive Filler\n</font><br>\n活性填料\n
Active Group	<font size=5>\nActive Group\n</font><br>\n活性基\n
Active Hydrogen	<font size=5>\nActive Hydrogen\n</font><br>\n活性氢\n
Active Mass	<font size=5>\nActive Mass\n</font><br>\n有效质量\n
Active Material	<font size=5>\nActive Material\n</font><br>\n活性物质\n
Active Nitrogen	<font size=5>\nActive Nitrogen\n</font><br>\n活性氮\n
Active Oxygen	<font size=5>\nActive Oxygen\n</font><br>\n活性氧\n
Active Power	<font size=5>\nActive Power\n</font><br>\n有效功率\n
Active Solvent	<font size=5>\nActive Solvent\n</font><br>\n活性溶剂\n
Activity	<font size=5>\nActivity\n</font><br>\n活度\n
Activity Coefficient	<font size=5>\nActivity Coefficient\n</font><br>\n活度系数\n
Activity Index	<font size=5>\nActivity Index\n</font><br>\n活动指数\n
Actomyosin	<font size=5>\nActomyosin\n</font><br>\n肌动球朊\n
Acyclic	<font size=5>\nAcyclic\n</font><br>\n无环的\n
Acyclic Compound	<font size=5>\nAcyclic Compound\n</font><br>\n无环化合物\n
Acyclic Hydrocarbon	<font size=5>\nAcyclic Hydrocarbon\n</font><br>\n无环烃\n
Acylating Agent	<font size=5>\nAcylating Agent\n</font><br>\n酰化剂\n
Acylation	<font size=5>\nAcylation\n</font><br>\n酰化\n
Acylcarbene	<font size=5>\nAcylcarbene\n</font><br>\n酰基聚炔\n
Acyl Carrier Protein	<font size=5>\nAcyl Carrier Protein\n</font><br>\n酰基载体蛋白\n
Acyl Chloride	<font size=5>\nAcyl Chloride\n</font><br>\n酰基氯\n
Acyl Group	<font size=5>\nAcyl Group\n</font><br>\n酰基\n
Acylnitrene	<font size=5>\nAcylnitrene\n</font><br>\n酰氮烯\n
Acyloin	<font size=5>\nAcyloin\n</font><br>\n偶姻\n
Acyloin Condensation	<font size=5>\nAcyloin Condensation\n</font><br>\n偶姻缩合\n
Acyloinform	<font size=5>\nAcyloinform\n</font><br>\n偶姻形\n
Acyl Peroxide	<font size=5>\nAcyl Peroxide\n</font><br>\n过氧化酰基\n
Acylurea	<font size=5>\nAcylurea\n</font><br>\n酰基脲\n
Adalin	<font size=5>\nAdalin\n</font><br>\n阿达林\n
Adamantane	<font size=5>\nAdamantane\n</font><br>\n金刚烷\n
Adamkiewitz Reaction	<font size=5>\nAdamkiewitz Reaction\n</font><br>\n阿当凯维奇反应\n
Adamsite	<font size=5>\nAdamsite\n</font><br>\n亚当氏毒气\n
Adaptability	<font size=5>\nAdaptability\n</font><br>\n适应性\n
Adaptation	<font size=5>\nAdaptation\n</font><br>\n适应\n
Adapter	<font size=5>\nAdapter\n</font><br>\n接管\n
Adaptive System	<font size=5>\nAdaptive System\n</font><br>\n自适应系统\n
Adatom	<font size=5>\nAdatom\n</font><br>\n被吸附原子\n
Addition	<font size=5>\nAddition\n</font><br>\n附加\n
Addition Agent	<font size=5>\nAddition Agent\n</font><br>\n添加剂\n
Additional Loss	<font size=5>\nAdditional Loss\n</font><br>\n附加损失\n
Addition Compound	<font size=5>\nAddition Compound\n</font><br>\n加成化合物\n
Addition Polymer	<font size=5>\nAddition Polymer\n</font><br>\n加聚物\n
Addition Polymerization	<font size=5>\nAddition Polymerization\n</font><br>\n加聚酌\n
Addition Product	<font size=5>\nAddition Product\n</font><br>\n附加产物\n
Addition Reaction	<font size=5>\nAddition Reaction\n</font><br>\n加成反应\n
Addition Solid Solution	<font size=5>\nAddition Solid Solution\n</font><br>\n加成固溶体\n
Additive	<font size=5>\nAdditive\n</font><br>\n添加剂\n
Additive Color Process	<font size=5>\nAdditive Color Process\n</font><br>\n加色法\n
Additive Mixing	<font size=5>\nAdditive Mixing\n</font><br>\n加法混合\n
Additivity	<font size=5>\nAdditivity\n</font><br>\n加性\n
Adduct	<font size=5>\nAdduct\n</font><br>\n加合物\n
Adduct Rubber	<font size=5>\nAdduct Rubber\n</font><br>\n加合橡胶\n
Adenase	<font size=5>\nAdenase\n</font><br>\n腺嘌呤酶\n
Adenine	<font size=5>\nAdenine\n</font><br>\n腺嘌呤\n
Adenosinase	<font size=5>\nAdenosinase\n</font><br>\n腺苷酶\n
Adenosine	<font size=5>\nAdenosine\n</font><br>\n腺苷\n
Adenosine Diphosphatase	<font size=5>\nAdenosine Diphosphatase\n</font><br>\n二磷酸腺苷酶\n
Adenosine Monophosphate	<font size=5>\nAdenosine Monophosphate\n</font><br>\n腺苷一磷酸\n
Adenosine Triphosphatase	<font size=5>\nAdenosine Triphosphatase\n</font><br>\n三磷酸腺苷酶\n
Adenosine Triphosphate	<font size=5>\nAdenosine Triphosphate\n</font><br>\n三磷酸腺苷\n
Adenylic Acid	<font size=5>\nAdenylic Acid\n</font><br>\n一磷酸腺苷\n
Adeps Lanae	<font size=5>\nAdeps Lanae\n</font><br>\n羊毛脂\n
Adermin	<font size=5>\nAdermin\n</font><br>\n抗皮炎素\n
Adherence	<font size=5>\nAdherence\n</font><br>\n粘合\n
Adherence Test	<font size=5>\nAdherence Test\n</font><br>\n粘着试验\n
Adhesion	<font size=5>\nAdhesion\n</font><br>\n粘合\n
Adhesive	<font size=5>\nAdhesive\n</font><br>\n胶粘的\n
Adhesive Ability	<font size=5>\nAdhesive Ability\n</font><br>\n粘着能力\n
Adhesive Bond	<font size=5>\nAdhesive Bond\n</font><br>\n粘结结合\n
Adhesive Capacity	<font size=5>\nAdhesive Capacity\n</font><br>\n粘着能力\n
Adhesive Film	<font size=5>\nAdhesive Film\n</font><br>\n粘附膜\n
Adhesiveness	<font size=5>\nAdhesiveness\n</font><br>\n粘合性\n
Adhesive Power	<font size=5>\nAdhesive Power\n</font><br>\n粘附力\n
Adhesives	<font size=5>\nAdhesives\n</font><br>\n粘着剂\n
Adhesive Tape	<font size=5>\nAdhesive Tape\n</font><br>\n粘合带\n
Adhesivity	<font size=5>\nAdhesivity\n</font><br>\n粘附性\n
Adiabatic Calorimeter	<font size=5>\nAdiabatic Calorimeter\n</font><br>\n绝热量热器\n
Adiabatic Change	<font size=5>\nAdiabatic Change\n</font><br>\n绝热变化\n
Adiabatic Compressibility	<font size=5>\nAdiabatic Compressibility\n</font><br>\n绝热压缩系数\n
Adiabatic Curve	<font size=5>\nAdiabatic Curve\n</font><br>\n绝热曲线\n
Adiabatic Expansion	<font size=5>\nAdiabatic Expansion\n</font><br>\n绝热膨胀\n
Adiabatic Lapse Rate	<font size=5>\nAdiabatic Lapse Rate\n</font><br>\n绝热递减率\n
Adiabatic Potential	<font size=5>\nAdiabatic Potential\n</font><br>\n绝热电位\n
Adiabatic Process	<font size=5>\nAdiabatic Process\n</font><br>\n绝热过程\n
Adiabatic Reaction	<font size=5>\nAdiabatic Reaction\n</font><br>\n绝热反应\n
Adiabatic Reactor	<font size=5>\nAdiabatic Reactor\n</font><br>\n绝热反应器\n
Adion	<font size=5>\nAdion\n</font><br>\n吸附离子\n
Adipamide	<font size=5>\nAdipamide\n</font><br>\n己二酰胺\n
Adipate	<font size=5>\nAdipate\n</font><br>\n己二酸酯\n
Adiphenine	<font size=5>\nAdiphenine\n</font><br>\n解痉素\n
Adipic Acid	<font size=5>\nAdipic Acid\n</font><br>\n己二酸\n
Adipocellulose	<font size=5>\nAdipocellulose\n</font><br>\n脂纤维素\n
Adiponitrile	<font size=5>\nAdiponitrile\n</font><br>\n己二腈\n
Adjab Butter	<font size=5>\nAdjab Butter\n</font><br>\n毒雾冰草油\n
Admixture	<font size=5>\nAdmixture\n</font><br>\n掺和物\n
Adonitol	<font size=5>\nAdonitol\n</font><br>\n阿东醇\n
Adrenal Cortex Hormone	<font size=5>\nAdrenal Cortex Hormone\n</font><br>\n肾上腺皮质激素\n
Adrenalin	<font size=5>\nAdrenalin\n</font><br>\n肾上腺素\n
Adsorbability	<font size=5>\nAdsorbability\n</font><br>\n吸附性\n
Adsorbate	<font size=5>\nAdsorbate\n</font><br>\n吸附质\n
Adsorbent	<font size=5>\nAdsorbent\n</font><br>\n吸附剂\n
Adsorber	<font size=5>\nAdsorber\n</font><br>\n吸附器\n
Adsorptiometer	<font size=5>\nAdsorptiometer\n</font><br>\n吸附测量表\n
Adsorptiometry	<font size=5>\nAdsorptiometry\n</font><br>\n吸附测量法\n
Adsorption	<font size=5>\nAdsorption\n</font><br>\n吸附\n
Adsorption Analysis	<font size=5>\nAdsorption Analysis\n</font><br>\n吸附分析\n
Adsorption Capacity	<font size=5>\nAdsorption Capacity\n</font><br>\n吸附能力\n
Adsorption Chromatography	<font size=5>\nAdsorption Chromatography\n</font><br>\n吸附色层分析法\n
Adsorption Compound	<font size=5>\nAdsorption Compound\n</font><br>\n吸附化合物\n
Adsorption Current	<font size=5>\nAdsorption Current\n</font><br>\n吸附电流\n
Adsorption Equilibrium	<font size=5>\nAdsorption Equilibrium\n</font><br>\n吸附平衡\n
Adsorption Exponent	<font size=5>\nAdsorption Exponent\n</font><br>\n吸附指数\n
Adsorption Heat	<font size=5>\nAdsorption Heat\n</font><br>\n吸附热\n
Adsorption Indicator	<font size=5>\nAdsorption Indicator\n</font><br>\n吸附指示剂\n
Adsorption Isotherm	<font size=5>\nAdsorption Isotherm\n</font><br>\n吸附等温线\n
Adsorption Potential	<font size=5>\nAdsorption Potential\n</font><br>\n吸附势\n
Adsorption Site	<font size=5>\nAdsorption Site\n</font><br>\n吸附点\n
Adsorption Water	<font size=5>\nAdsorption Water\n</font><br>\n吸附水\n
Adsorption Wave	<font size=5>\nAdsorption Wave\n</font><br>\n吸附波\n
Aerated Concrete	<font size=5>\nAerated Concrete\n</font><br>\n加气混凝土\n
Aerated Water	<font size=5>\nAerated Water\n</font><br>\n充气水\n
Aeration	<font size=5>\nAeration\n</font><br>\n吹风\n
Aerobe	<font size=5>\nAerobe\n</font><br>\n需氧微生物\n
Aerobic Digestion	<font size=5>\nAerobic Digestion\n</font><br>\n需氧消化\n
Aerobic Fermentation	<font size=5>\nAerobic Fermentation\n</font><br>\n需氧发酵\n
Aerochemical	<font size=5>\nAerochemical\n</font><br>\n空气化学的\n
Aerochemistry	<font size=5>\nAerochemistry\n</font><br>\n空气化学\n
Aerocolloid	<font size=5>\nAerocolloid\n</font><br>\n气溶胶\n
Aerodynamic Sound	<font size=5>\nAerodynamic Sound\n</font><br>\n空气动力声\n
Aerogel	<font size=5>\nAerogel\n</font><br>\n气凝胶\n
Aerophily	<font size=5>\nAerophily\n</font><br>\n亲气性\n
Aerosil	<font size=5>\nAerosil\n</font><br>\n硅胶\n
Aerosol	<font size=5>\nAerosol\n</font><br>\n气溶胶\n
Aerosological	<font size=5>\nAerosological\n</font><br>\n气溶胶的\n
Aerosolology	<font size=5>\nAerosolology\n</font><br>\n气溶胶学\n
Aerosol Propellant	<font size=5>\nAerosol Propellant\n</font><br>\n气溶胶抛射剂\n
Aerothermochemical	<font size=5>\nAerothermochemical\n</font><br>\n空气热化学的\n
Aerothermochemistry	<font size=5>\nAerothermochemistry\n</font><br>\n空气热化学\n
Aerotropic	<font size=5>\nAerotropic\n</font><br>\n向氧性的\n
Aesculetin	<font size=5>\nAesculetin\n</font><br>\n七叶亭\n
Affination	<font size=5>\nAffination\n</font><br>\n精制\n
Affinity	<font size=5>\nAffinity\n</font><br>\n亲合力\n
Affinity Labeling	<font size=5>\nAffinity Labeling\n</font><br>\n亲和标记\n
Aflatoxin	<font size=5>\nAflatoxin\n</font><br>\n黄曲毒素\n
Aftercooler	<font size=5>\nAftercooler\n</font><br>\n后冷却器\n
After Cure	<font size=5>\nAfter Cure\n</font><br>\n后硫化\n
After Effect	<font size=5>\nAfter Effect\n</font><br>\n后效应\n
After Fermentation	<font size=5>\nAfter Fermentation\n</font><br>\n后发酵\n
Afterignition	<font size=5>\nAfterignition\n</font><br>\n后点火\n
After Ripening	<font size=5>\nAfter Ripening\n</font><br>\n后熟\n
Aftershrinkage	<font size=5>\nAftershrinkage\n</font><br>\n后期收缩\n
Aftertreatment	<font size=5>\nAftertreatment\n</font><br>\n后处理\n
After Vulcanization	<font size=5>\nAfter Vulcanization\n</font><br>\n后硫化\n
Agar	<font size=5>\nAgar\n</font><br>\n琼脂\n
Agar Agar	<font size=5>\nAgar Agar\n</font><br>\n琼脂\n
Agaric Acid	<font size=5>\nAgaric Acid\n</font><br>\n松蕈酸\n
Agaricin	<font size=5>\nAgaricin\n</font><br>\n松蕈酸\n
Agate Mortar	<font size=5>\nAgate Mortar\n</font><br>\n玛瑙研钵\n
Agavose	<font size=5>\nAgavose\n</font><br>\n龙舌兰糖\n
Age Hardening	<font size=5>\nAge Hardening\n</font><br>\n时效硬化\n
Agent	<font size=5>\nAgent\n</font><br>\n试剂\n
Agent Of Oxidation	<font size=5>\nAgent Of Oxidation\n</font><br>\n氧化剂\n
Age Resister	<font size=5>\nAge Resister\n</font><br>\n抗老剂\n
Agglomerate	<font size=5>\nAgglomerate\n</font><br>\n烧结块\n
Agglomeration	<font size=5>\nAgglomeration\n</font><br>\n结块\n
Agglutinant	<font size=5>\nAgglutinant\n</font><br>\n凝集剂\n
Agglutination	<font size=5>\nAgglutination\n</font><br>\n凝集\n
Agglutination Reaction	<font size=5>\nAgglutination Reaction\n</font><br>\n凝集反应\n
Agglutinin	<font size=5>\nAgglutinin\n</font><br>\n凝集素\n
Agglutometer	<font size=5>\nAgglutometer\n</font><br>\n胶粘计\n
Aggregate	<font size=5>\nAggregate\n</font><br>\n聚集体\n
Aggregation	<font size=5>\nAggregation\n</font><br>\n聚集\n
Aging	<font size=5>\nAging\n</font><br>\n成熟\n
Aging Resistance	<font size=5>\nAging Resistance\n</font><br>\n抗老化性\n
Agitation	<font size=5>\nAgitation\n</font><br>\n搅拌\n
Agitator	<font size=5>\nAgitator\n</font><br>\n搅拌机\n
Aglycon	<font size=5>\nAglycon\n</font><br>\n糖苷配基\n
Agmatin	<font size=5>\nAgmatin\n</font><br>\n精胺\n
Agricultural Chemistry	<font size=5>\nAgricultural Chemistry\n</font><br>\n农业化学\n
Air Bath	<font size=5>\nAir Bath\n</font><br>\n空气浴\n
Air Bubble	<font size=5>\nAir Bubble\n</font><br>\n气泡\n
Air Cell	<font size=5>\nAir Cell\n</font><br>\n空气电池\n
Air Chamber	<font size=5>\nAir Chamber\n</font><br>\n空气室\n
Air Classifier	<font size=5>\nAir Classifier\n</font><br>\n风力分级器\n
Air Compressor	<font size=5>\nAir Compressor\n</font><br>\n空气压缩机\n
Air Condenser	<font size=5>\nAir Condenser\n</font><br>\n空气冷凝器\n
Air Conditioning	<font size=5>\nAir Conditioning\n</font><br>\n空气第\n
Air Conditioning Equipment	<font size=5>\nAir Conditioning Equipment\n</font><br>\n空气第设备\n
Air Content	<font size=5>\nAir Content\n</font><br>\n空气含量\n
Air Cooler	<font size=5>\nAir Cooler\n</font><br>\n空气冷却器\n
Air Cure	<font size=5>\nAir Cure\n</font><br>\n空气硫化\n
Air Deficiency	<font size=5>\nAir Deficiency\n</font><br>\n空气缺乏\n
Air Drying	<font size=5>\nAir Drying\n</font><br>\n空气干燥\n
Air Elutriation	<font size=5>\nAir Elutriation\n</font><br>\n风筛\n
Air Entraining Agent	<font size=5>\nAir Entraining Agent\n</font><br>\n加气剂\n
Air Excess	<font size=5>\nAir Excess\n</font><br>\n空气过量\n
Air Filter	<font size=5>\nAir Filter\n</font><br>\n空气过滤器\n
Air Fuel Ratio	<font size=5>\nAir Fuel Ratio\n</font><br>\n空气燃料比\n
Air Gas	<font size=5>\nAir Gas\n</font><br>\n空气气体\n
Air Hardening Steel	<font size=5>\nAir Hardening Steel\n</font><br>\n空气淬硬钢\n
Air Heater	<font size=5>\nAir Heater\n</font><br>\n空气加热器\n
Airhole	<font size=5>\nAirhole\n</font><br>\n风眼\n
Air Humidity	<font size=5>\nAir Humidity\n</font><br>\n空气湿度\n
Air Lift	<font size=5>\nAir Lift\n</font><br>\n空气吸扬\n
Air Liquefier	<font size=5>\nAir Liquefier\n</font><br>\n空气液化器\n
Air Liquefying Apparatus	<font size=5>\nAir Liquefying Apparatus\n</font><br>\n空气液化装置\n
Air Oxidation	<font size=5>\nAir Oxidation\n</font><br>\n空气氧化\n
Air Pollution	<font size=5>\nAir Pollution\n</font><br>\n大气污染\n
Air Pump	<font size=5>\nAir Pump\n</font><br>\n气泵\n
Air Purifier	<font size=5>\nAir Purifier\n</font><br>\n空气净化器\n
Air Reduction Process	<font size=5>\nAir Reduction Process\n</font><br>\n空气还原法\n
Air Reservoir	<font size=5>\nAir Reservoir\n</font><br>\n储气筒\n
Air Separation	<font size=5>\nAir Separation\n</font><br>\n吹气分离\n
Air Separator	<font size=5>\nAir Separator\n</font><br>\n空气分离器\n
Air Setting	<font size=5>\nAir Setting\n</font><br>\n空气硬化\n
Air Shower	<font size=5>\nAir Shower\n</font><br>\n空气淋浴\n
Air Temperature	<font size=5>\nAir Temperature\n</font><br>\n气温\n
Ajax Powder	<font size=5>\nAjax Powder\n</font><br>\n阿加克斯火药\n
Ajmaline	<font size=5>\nAjmaline\n</font><br>\n阿吗灵\n
Ajowan Oil	<font size=5>\nAjowan Oil\n</font><br>\n香旱芹油\n
Alabandite	<font size=5>\nAlabandite\n</font><br>\n硫锰矿\n
Alabaster Glass	<font size=5>\nAlabaster Glass\n</font><br>\n雪花玻璃\n
Alanine	<font size=5>\nAlanine\n</font><br>\n丙氨酸\n
Albarium	<font size=5>\nAlbarium\n</font><br>\n大理石灰\n
Albedo	<font size=5>\nAlbedo\n</font><br>\n反射率\n
Albertite	<font size=5>\nAlbertite\n</font><br>\n黑沥青\n
Albertol	<font size=5>\nAlbertol\n</font><br>\n阿耳伯特尸\n
Albite	<font size=5>\nAlbite\n</font><br>\n钠长石\n
Albolite	<font size=5>\nAlbolite\n</font><br>\n镁硅塑胶\n
Albumin	<font size=5>\nAlbumin\n</font><br>\n白朊\n
Albuminate	<font size=5>\nAlbuminate\n</font><br>\n白蛋白化合物\n
Albumin Globulin Ratio	<font size=5>\nAlbumin Globulin Ratio\n</font><br>\n白蛋白球蛋白比\n
Albumin Glue	<font size=5>\nAlbumin Glue\n</font><br>\n蛋白胶\n
Albuminoid	<font size=5>\nAlbuminoid\n</font><br>\n硬朊\n
Album Paper	<font size=5>\nAlbum Paper\n</font><br>\n像簿纸\n
Alchemy	<font size=5>\nAlchemy\n</font><br>\n炼金术\n
Alcian Blue	<font size=5>\nAlcian Blue\n</font><br>\n阿尔新蓝\n
Alcogel	<font size=5>\nAlcogel\n</font><br>\n醇凝胶\n
Alcohol	<font size=5>\nAlcohol\n</font><br>\n醇\n
Alcohol Acid	<font size=5>\nAlcohol Acid\n</font><br>\n醇酸\n
Alcoholase	<font size=5>\nAlcoholase\n</font><br>\n醇酶\n
Alcoholate	<font size=5>\nAlcoholate\n</font><br>\n烃氧基金属\n
Alcohol Dehydrogenase	<font size=5>\nAlcohol Dehydrogenase\n</font><br>\n醇脱氢酶\n
Alcohol Fuel	<font size=5>\nAlcohol Fuel\n</font><br>\n酒精燃料\n
Alcoholic Compound	<font size=5>\nAlcoholic Compound\n</font><br>\n醇化合物\n
Alcoholic Extract	<font size=5>\nAlcoholic Extract\n</font><br>\n酒精提出物\n
Alcoholic Fermentation	<font size=5>\nAlcoholic Fermentation\n</font><br>\n酒精发酵\n
Alcoholic Potash	<font size=5>\nAlcoholic Potash\n</font><br>\n钾碱醇液\n
Alcoholic Solution	<font size=5>\nAlcoholic Solution\n</font><br>\n醇溶液\n
Alcoholism	<font size=5>\nAlcoholism\n</font><br>\n酒中毒\n
Alcohol Lamp	<font size=5>\nAlcohol Lamp\n</font><br>\n酒精灯\n
Alcoholmeter	<font size=5>\nAlcoholmeter\n</font><br>\n酒精比重计\n
Alcohol Of Crystallization	<font size=5>\nAlcohol Of Crystallization\n</font><br>\n结晶醇\n
Alcoholometry	<font size=5>\nAlcoholometry\n</font><br>\n酒精测定\n
Alcohol Thermometer	<font size=5>\nAlcohol Thermometer\n</font><br>\n酒精温度计\n
Alcohol Varnish	<font size=5>\nAlcohol Varnish\n</font><br>\n醇溶清漆\n
Alcoholysis	<font size=5>\nAlcoholysis\n</font><br>\n醇解\n
Alcosol	<font size=5>\nAlcosol\n</font><br>\n醇溶胶\n
Alcoxyl	<font size=5>\nAlcoxyl\n</font><br>\n烷氧\n
Aldehyde	<font size=5>\nAldehyde\n</font><br>\n醛\n
Aldehyde Acid	<font size=5>\nAldehyde Acid\n</font><br>\n醛酸\n
Aldehyde Alcohol	<font size=5>\nAldehyde Alcohol\n</font><br>\n醛醇\n
Aldehyde Ammonia	<font size=5>\nAldehyde Ammonia\n</font><br>\n醛氨\n
Aldehyde Dehydrogenase	<font size=5>\nAldehyde Dehydrogenase\n</font><br>\n醛脱氢酶\n
Aldehyde Resin	<font size=5>\nAldehyde Resin\n</font><br>\n聚醛尸\n
Aldimine	<font size=5>\nAldimine\n</font><br>\n亚胺醛\n
